QUERY = "optimization intermediate machine code"
17 Q0 CACM-1807 66 0.11566522933571727 tf-idf
17 Q0 CACM-2586 67 0.1142588136348959 tf-idf
17 Q0 CACM-1154 68 0.11372830860183052 tf-idf
17 Q0 CACM-0241 69 0.11332102729407233 tf-idf
17 Q0 CACM-2964 70 0.11288378834091148 tf-idf
17 Q0 CACM-1486 71 0.1112974375209639 tf-idf
17 Q0 CACM-2624 72 0.10934485089778909 tf-idf
17 Q0 CACM-3173 73 0.10881791774751991 tf-idf
17 Q0 CACM-2379 74 0.10745959484782722 tf-idf
17 Q0 CACM-1345 75 0.10711763778271491 tf-idf
17 Q0 CACM-1757 76 0.10711763778271491 tf-idf
17 Q0 CACM-1564 77 0.1048389962910269 tf-idf
17 Q0 CACM-1134 78 0.10454527747249015 tf-idf
17 Q0 CACM-0252 79 0.10391307031271507 tf-idf
17 Q0 CACM-1016 80 0.10387760835289964 tf-idf
17 Q0 CACM-1168 81 0.10387760835289964 tf-idf
17 Q0 CACM-0731 82 0.10217469674055703 tf-idf
17 Q0 CACM-2557 83 0.10217469674055703 tf-idf
17 Q0 CACM-0693 84 0.10100128430502606 tf-idf
17 Q0 CACM-1886 85 0.10086672879094016 tf-idf
17 Q0 CACM-0719 86 0.10052671776087062 tf-idf
17 Q0 CACM-2680 87 0.0996895793140517 tf-idf
17 Q0 CACM-2858 88 0.09953168784435434 tf-idf
17 Q0 CACM-3110 89 0.09935549011730078 tf-idf
17 Q0 CACM-1265 90 0.09841036580801019 tf-idf
17 Q0 CACM-2701 91 0.09810621671270409 tf-idf
17 Q0 CACM-1665 92 0.0964944449846793 tf-idf
17 Q0 CACM-1783 93 0.09297485238506085 tf-idf
17 Q0 CACM-0124 94 0.09264228132559128 tf-idf
17 Q0 CACM-1651 95 0.09181511809946992 tf-idf
17 Q0 CACM-1619 96 0.0916567132525585 tf-idf
17 Q0 CACM-2411 97 0.09138211437121405 tf-idf
17 Q0 CACM-2537 98 0.09030703067272919 tf-idf
17 Q0 CACM-2979 99 0.08717002099544026 tf-idf
17 Q0 CACM-1387 100 0.08547688041852369 tf-idf
