QUERY = "parallel processors paging algorithms"
51 Q0 CACM-2723 38 0.18520099866268344 tf-idf
51 Q0 CACM-1810 39 0.1842388107363236 tf-idf
51 Q0 CACM-2785 40 0.1805928563911942 tf-idf
51 Q0 CACM-2497 41 0.18030960777039598 tf-idf
51 Q0 CACM-1342 42 0.17979179336693898 tf-idf
51 Q0 CACM-1796 43 0.17979179336693898 tf-idf
51 Q0 CACM-1468 44 0.17818524636925642 tf-idf
51 Q0 CACM-2175 45 0.17131635736817571 tf-idf
51 Q0 CACM-2557 46 0.17052741158243231 tf-idf
51 Q0 CACM-0270 47 0.1685548062815053 tf-idf
51 Q0 CACM-1658 48 0.1685548062815053 tf-idf
51 Q0 CACM-0392 49 0.16750641752226708 tf-idf
51 Q0 CACM-2570 50 0.1660885210011162 tf-idf
51 Q0 CACM-1665 51 0.16152570296956661 tf-idf
51 Q0 CACM-1795 52 0.16052698345883928 tf-idf
51 Q0 CACM-2895 53 0.16052698345883928 tf-idf
51 Q0 CACM-2226 54 0.15863981767671087 tf-idf
51 Q0 CACM-1374 55 0.14982649447244914 tf-idf
51 Q0 CACM-2273 56 0.14982649447244914 tf-idf
51 Q0 CACM-2725 57 0.14982649447244914 tf-idf
51 Q0 CACM-1728 58 0.14778090038790437 tf-idf
51 Q0 CACM-2819 59 0.14194088950021497 tf-idf
51 Q0 CACM-2884 60 0.1408816291308104 tf-idf
51 Q0 CACM-3059 61 0.13759455725043368 tf-idf
51 Q0 CACM-2767 62 0.13620590406586286 tf-idf
51 Q0 CACM-1529 63 0.13155497075629682 tf-idf
51 Q0 CACM-2865 64 0.13134025919359577 tf-idf
51 Q0 CACM-1851 65 0.12842270954781354 tf-idf
51 Q0 CACM-2490 66 0.12842270954781354 tf-idf
51 Q0 CACM-2903 67 0.12721117455207948 tf-idf
51 Q0 CACM-1873 68 0.12543613490716674 tf-idf
51 Q0 CACM-2272 69 0.12543613490716674 tf-idf
51 Q0 CACM-1884 70 0.12528537782570548 tf-idf
51 Q0 CACM-1953 71 0.12258531365927658 tf-idf
51 Q0 CACM-2630 72 0.12258531365927658 tf-idf
51 Q0 CACM-2627 73 0.11986119557795932 tf-idf
51 Q0 CACM-3152 74 0.1196909931734425 tf-idf
51 Q0 CACM-1392 75 0.11897986325753315 tf-idf
51 Q0 CACM-3153 76 0.11813606453929618 tf-idf
51 Q0 CACM-2401 77 0.11674689706097403 tf-idf
51 Q0 CACM-0303 78 0.11655884060441253 tf-idf
51 Q0 CACM-2267 79 0.11476071917038658 tf-idf
51 Q0 CACM-1752 80 0.11399464499280668 tf-idf
51 Q0 CACM-2069 81 0.11365173559903283 tf-idf
51 Q0 CACM-1846 82 0.1133131647944748 tf-idf
51 Q0 CACM-0804 83 0.11236987085433686 tf-idf
51 Q0 CACM-2505 84 0.11236987085433686 tf-idf
51 Q0 CACM-2128 85 0.11142571821655653 tf-idf
51 Q0 CACM-2195 86 0.11113406547150413 tf-idf
51 Q0 CACM-2851 87 0.10929496746133739 tf-idf
51 Q0 CACM-2289 88 0.10811061075788117 tf-idf
51 Q0 CACM-2830 89 0.10787507602016339 tf-idf
51 Q0 CACM-2263 90 0.10534675392594081 tf-idf
51 Q0 CACM-2016 91 0.10467923015700392 tf-idf
51 Q0 CACM-2692 92 0.10443995244296726 tf-idf
51 Q0 CACM-2080 93 0.10412561089222008 tf-idf
51 Q0 CACM-3061 94 0.1037260346347725 tf-idf
51 Q0 CACM-1684 95 0.10331351780845657 tf-idf
51 Q0 CACM-1569 96 0.10138546323716165 tf-idf
51 Q0 CACM-2025 97 0.09988432964829942 tf-idf
51 Q0 CACM-2647 98 0.09988432964829942 tf-idf
51 Q0 CACM-2914 99 0.09944526864915373 tf-idf
51 Q0 CACM-1957 100 0.09923521975024588 tf-idf
