QUERY = "distributed computing structures algorithms"
23 Q0 CACM-2767 62 0.13620590406586286 tf-idf
23 Q0 CACM-2766 63 0.13551011721400377 tf-idf
23 Q0 CACM-3043 64 0.1354983955229481 tf-idf
23 Q0 CACM-3090 65 0.13510128054655074 tf-idf
23 Q0 CACM-1529 66 0.13155497075629682 tf-idf
23 Q0 CACM-3086 67 0.1312230936237334 tf-idf
23 Q0 CACM-2433 68 0.12983297924567874 tf-idf
23 Q0 CACM-1851 69 0.12842270954781354 tf-idf
23 Q0 CACM-2490 70 0.12842270954781354 tf-idf
23 Q0 CACM-2822 71 0.12730697589963438 tf-idf
23 Q0 CACM-2903 72 0.12721117455207948 tf-idf
23 Q0 CACM-1889 73 0.12609452851011405 tf-idf
23 Q0 CACM-2272 74 0.12543613490716674 tf-idf
23 Q0 CACM-2780 75 0.12490495748643372 tf-idf
23 Q0 CACM-1869 76 0.12329192438724006 tf-idf
23 Q0 CACM-2743 77 0.12259190271816643 tf-idf
23 Q0 CACM-1953 78 0.12258531365927658 tf-idf
23 Q0 CACM-2081 79 0.12132325851004695 tf-idf
23 Q0 CACM-2627 80 0.11986119557795932 tf-idf
23 Q0 CACM-1392 81 0.11897986325753315 tf-idf
23 Q0 CACM-2709 82 0.11731062602103592 tf-idf
23 Q0 CACM-3141 83 0.11676867722950007 tf-idf
23 Q0 CACM-1010 84 0.11613969731194713 tf-idf
23 Q0 CACM-2267 85 0.11476071917038658 tf-idf
23 Q0 CACM-1031 86 0.11413728873760323 tf-idf
23 Q0 CACM-2756 87 0.11413728873760323 tf-idf
23 Q0 CACM-2816 88 0.112383963345504 tf-idf
23 Q0 CACM-0804 89 0.11236987085433686 tf-idf
23 Q0 CACM-2505 90 0.11236987085433686 tf-idf
23 Q0 CACM-1050 91 0.11154983635036005 tf-idf
23 Q0 CACM-2130 92 0.10859968419330292 tf-idf
23 Q0 CACM-3025 93 0.108259535162123 tf-idf
23 Q0 CACM-2830 94 0.10787507602016339 tf-idf
23 Q0 CACM-2198 95 0.10552011546655682 tf-idf
23 Q0 CACM-2263 96 0.10534675392594081 tf-idf
23 Q0 CACM-3061 97 0.1037260346347725 tf-idf
23 Q0 CACM-2963 98 0.10239688440469015 tf-idf
23 Q0 CACM-2311 99 0.1018455807197075 tf-idf
23 Q0 CACM-2371 100 0.10162379664221106 tf-idf
